"Optcrit";"mod";"region";"RMSE";"Rsquared";"MAE"
"MAE";"cartcp";"Belgium";"18.0830063404356";"0.933135429674821";"9.40571039102869"
"MAE";"cartcp";"Flanders";"19.0514594590628";"0.92902831248488";"9.92963881080527"
"MAE";"cartcp";"Wallonia";"21.3240407691881";"0.899164046068196";"11.0105855175094"
"MAE";"cartcp";"Brussels";"34.2541665067298";"0.723567591268903";"16.4211160991885"
"MAE";"cartcp";"Antwerp";"19.6042090760303";"0.924662333989979";"10.1376630685875"
"MAE";"cartcp";"Hainaut";"26.848985462586";"0.844201560634356";"13.5683835102664"
"MAE";"cartcp";"Limburg";"19.3383862270686";"0.926225502840556";"10.0595809926574"
"MAE";"cartcp";"Liège";"21.9670967301849";"0.895552143562876";"11.2495984806218"
"MAE";"cartcp";"Luxembourg";"22.0964050702031";"0.891712778195315";"11.6020457352779"
"MAE";"cartcp";"Namur";"22.2103519026802";"0.895059373411847";"11.4048152295696"
"MAE";"cartcp";"East.Flanders";"20.1391524888641";"0.919989468885052";"10.3113194297638"
"MAE";"cartcp";"Flemish.Brabant";"19.4560274655576";"0.926966755851292";"9.89990179107209"
"MAE";"cartcp";"Walloon.Brabant";"23.4027604449172";"0.882552773059068";"11.8347530879146"
"MAE";"cartcp";"West.Flanders";"22.4969793676046";"0.91217972742863";"11.4845431203563"
"MAE";"knn";"Belgium";"16.991924335779";"0.940854865709187";"8.5839993050726"
"MAE";"knn";"Flanders";"17.7656068068131";"0.938221720807711";"9.00303472995502"
"MAE";"knn";"Wallonia";"19.5926049746735";"0.914584794446836";"9.92500283376689"
"MAE";"knn";"Brussels";"31.9075001489252";"0.756485651716871";"15.2751688617513"
"MAE";"knn";"Antwerp";"17.863928759196";"0.937279016970118";"8.95763738228424"
"MAE";"knn";"Hainaut";"24.6237246116282";"0.868115320082979";"12.4318462187953"
"MAE";"knn";"Limburg";"17.9710512365378";"0.936175858791564";"8.90363144811642"
"MAE";"knn";"Liège";"20.9245717044952";"0.904766696640871";"10.5078156527176"
"MAE";"knn";"Luxembourg";"20.3768271503747";"0.907520931991319";"10.4229802895166"
"MAE";"knn";"Namur";"20.3823806099935";"0.911270944048167";"10.3330433269702"
"MAE";"knn";"East.Flanders";"18.7945217684503";"0.930246424505924";"9.41632776311677"
"MAE";"knn";"Flemish.Brabant";"18.1435237148286";"0.936296949328358";"9.00634955744404"
"MAE";"knn";"Walloon.Brabant";"21.9308791518865";"0.896320695792888";"10.9585802356799"
"MAE";"knn";"West.Flanders";"20.6489900473277";"0.925787961642797";"10.3890188921644"
"MAE";"lasso";"Belgium";"23.0943826640114";"0.896970086861053";"14.1478024456216"
"MAE";"lasso";"Flanders";"22.9998777434099";"0.901629866345684";"14.08576614512"
"MAE";"lasso";"Wallonia";"24.3405113863203";"0.8742794920271";"14.7632758355952"
"MAE";"lasso";"Brussels";"33.7731484516542";"0.731615146557094";"19.1796915020372"
"MAE";"lasso";"Antwerp";"24.2426879872229";"0.89081458804955";"14.9100963904666"
"MAE";"lasso";"Hainaut";"28.0068538667793";"0.834403619131676";"16.5938768051052"
"MAE";"lasso";"Limburg";"23.5880898819353";"0.895972109551354";"14.5689564202479"
"MAE";"lasso";"Liège";"25.7599500690042";"0.861689242975819";"15.5919132766598"
"MAE";"lasso";"Luxembourg";"26.0781080282";"0.854970436990941";"16.1740135342346"
"MAE";"lasso";"Namur";"25.2277961794239";"0.870137134791273";"15.380627573649"
"MAE";"lasso";"East.Flanders";"23.8398940133628";"0.892843664226671";"14.6015590107458"
"MAE";"lasso";"Flemish.Brabant";"24.3993052710651";"0.891297731281429";"14.9762030241106"
"MAE";"lasso";"Walloon.Brabant";"25.9003088509209";"0.861531717511055";"15.536536227867"
"MAE";"lasso";"West.Flanders";"27.794755937971";"0.871065904923761";"16.6816894881632"
"MAE";"reglin";"Belgium";"20.4584887063501";"0.91411000006885";"12.6524436194192"
"MAE";"reglin";"Flanders";"20.4493361763804";"0.91798301601817";"12.6734254423455"
"MAE";"reglin";"Wallonia";"22.2646427343435";"0.889522231276485";"13.5433501869658"
"MAE";"reglin";"Brussels";"32.6067270292514";"0.74506230738719";"18.2527257211045"
"MAE";"reglin";"Antwerp";"21.5669757950051";"0.908443400220851";"13.3281120356257"
"MAE";"reglin";"Hainaut";"26.1461268999438";"0.850884152697449";"15.432376385429"
"MAE";"reglin";"Limburg";"21.4170234084974";"0.909161936563099";"13.0674103525466"
"MAE";"reglin";"Liège";"23.6350609720515";"0.878464943415156";"14.181196024781"
"MAE";"reglin";"Luxembourg";"23.4313244244092";"0.877492194967406";"14.5813562005677"
"MAE";"reglin";"Namur";"23.1424990530323";"0.885292285987737";"14.0719194445704"
"MAE";"reglin";"East.Flanders";"21.4871937466827";"0.908618901240989";"13.2369115771772"
"MAE";"reglin";"Flemish.Brabant";"21.7652041420415";"0.908173865888038";"13.376856027142"
"MAE";"reglin";"Walloon.Brabant";"23.9402301807775";"0.876208080984246";"14.4129415412437"
"MAE";"reglin";"West.Flanders";"24.9915710558019";"0.891081460079217";"15.2506474055284"
"MAE";"ridge";"Belgium";"20.4789196414197";"0.913909062963196";"12.6951112605453"
"MAE";"ridge";"Flanders";"20.4680940128593";"0.917859775446546";"12.7216196950242"
"MAE";"ridge";"Wallonia";"22.2807967198751";"0.889346881560352";"13.5915189995006"
"MAE";"ridge";"Brussels";"32.6044438239135";"0.744996456664392";"18.3031040812961"
"MAE";"ridge";"Antwerp";"21.5826617308619";"0.908340652812702";"13.3737507164583"
